entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Overtime pay,0.0131,0.0049,0.0026,0.0030,0.0029,0.0026,0.0029,0.0029,0.0037,0.0027,0.0029,0.0031,0.0048,0.0041,0.0049,0.0033
Saudi Arabia,0.0131,0.0138,0.0146,0.0116,0.0107,0.0140,0.0324,0.0119,0.0114,0.0114,0.0121,0.0189,0.0161,0.0138,0.0104,0.0120
Thomas Edison,0.0131,0.0134,0.0103,0.0095,0.0075,0.0073,0.0070,0.0065,0.0059,0.0055,0.0046,0.0069,0.0068,0.0060,0.0057,0.0044
Automotive Industry,0.0131,0.0040,0.0082,0.0057,0.0065,0.0079,0.0048,0.0045,0.0071,0.0035,0.0039,0.0037,0.0031,0.0035,0.0045,0.0025
California Wild Fires,0.0131,0.0062,0.0082,0.0097,0.0169,0.0059,0.0050,0.0050,0.0032,0.0047,0.0043,0.0032,0.0038,0.0037,0.0049,0.0045
ISIS,0.0130,0.0054,0.0050,0.0055,0.0046,0.0028,0.0028,0.0037,0.0042,0.0034,0.0047,0.0634,0.0560,0.0170,0.0111,0.0121
Hungary,0.0125,0.0152,0.0088,0.0076,0.0069,0.0059,0.0113,0.0074,0.0049,0.0044,0.0050,0.0057,0.0045,0.0055,0.0052,0.0047
Palestinian Territories,0.0119,0.0031,0.0117,0.0025,0.0037,0.0062,0.0048,0.0039,0.0027,0.0036,0.0023,0.0043,0.0020,0.0036,0.0033,0.0034
Law Enforcement,0.0118,0.0103,0.0111,0.0070,0.0091,0.0097,0.0078,0.0078,0.0082,0.0081,0.0073,0.0058,0.0066,0.0077,0.0072,0.0072
Fannie Mae,0.0118,0.0112,0.0059,0.0082,0.0095,0.0119,0.0088,0.0131,0.0112,0.0096,0.0074,0.0071,0.0058,0.0090,0.0077,0.0036
Wall Street,0.0118,0.0103,0.0082,0.0084,0.0097,0.0104,0.0084,0.0068,0.0071,0.0059,0.0094,0.0084,0.0071,0.0069,0.0065,0.0042
Charter schools,0.0118,0.0112,0.0146,0.0131,0.0102,0.0167,0.0170,0.0177,0.0159,0.0139,0.0146,0.0150,0.0142,0.0155,0.0141,0.0112
Haiti,0.0118,0.0179,0.0188,0.0131,0.0143,0.0155,0.2687,0.0273,0.0201,0.0186,0.0156,0.0158,0.0163,0.0177,0.0185,0.0156
Lebanon,0.0112,0.0107,0.0085,0.0169,0.0109,0.0119,0.0108,0.0152,0.0077,0.0063,0.0073,0.0103,0.0077,0.0073,0.0070,0.0064
Aid,0.0111,0.0076,0.0076,0.0078,0.0092,0.0079,0.0091,0.0082,0.0081,0.0058,0.0060,0.0068,0.0058,0.0076,0.0079,0.0054
